FlowID,Source,Destination,TxBytes,RxBytes,Throughput(Mbps),PacketDeliveryRatio(%),EndToEndDelay(ms),PacketsDropped,Jitter(ms)
1,10.1.5.1,10.1.5.2,8416,8416,0.00961322,100,3.6864,0,0
2,10.1.5.2,10.1.5.1,8416,8416,0.00961322,100,3.6864,0,0
