FlowID,Source,Destination,TxBytes,RxBytes,Throughput(Mbps),PacketDeliveryRatio(%),EndToEndDelay(ms),PacketsDropped,Jitter(ms)
1,10.1.1.2,10.1.6.2,5260,5260,0.0105006,100,7.3728,0,0
2,10.1.6.2,10.1.1.2,3156,3156,0.0125776,100,7.3728,0,0
